Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Standard deviation,Lag-1 AC,Skewness,Kurtosis,Variance,Smax,Lag-3 AC
1,x,0,0.9112730928741989,0.8896569058690461,0.9100163378157597,-0.9478865569100584,-0.34564953290603667,-0.31280633404549457,0.9100163378157597,0.9636363636363636,-0.6853085333668469
2,x,0,0.45607641070755317,0.3479954756817896,0.4553223576724897,-0.9498973650035609,0.31121444430480505,0.0638850488039881,0.4553223576724897,0.6727272727272727,-0.45138452515604716
3,x,0,0.8327677935570359,0.584768128691718,0.8257299652297768,-0.9526622261321268,0.3653386954882494,-0.2493820954296008,0.8257299652297768,0.7818181818181819,-0.04126345775208412
4,x,0,0.4720790917850112,0.641322106321478,0.4745088182313268,-0.979305433371036,-0.37287922583888405,0.27443341292782036,0.4745088182313268,0.45454545454545453,-0.7411084579615433
5,x,0,0.8058732353064388,0.8412299442838592,0.8008462150726824,-0.959700054459386,0.6142599807297559,0.7613841062376943,0.8008462150726824,0.8909090909090909,-0.8137489003393239
6,x,0,0.6063005320263082,0.653470738553056,0.5986762180051108,-0.9679946378450841,0.48917096057978304,0.3647522097943111,0.5986762180051108,0.6000000000000001,-0.6453437225084832
7,x,0,0.8407272422604836,0.6942733861170458,0.8417326463072348,-0.9781324619831596,-0.6742490888525827,-0.49888986636504545,0.8417326463072348,0.8181818181818182,-0.697457165598425
8,x,0,0.06204180805161075,0.5101168782204348,0.07301746889531231,-0.9585270830715096,0.2606928909555528,-0.45649532906036616,0.07301746889531231,0.45454545454545453,-0.49026014829709696
9,x,0,0.6665409911608229,0.9233379414352143,0.6618491056093168,-0.9804784047589126,-0.2594361358971137,-0.21335511708767965,0.6618491056093168,0.9272727272727274,-0.8470948012232417
10,x,0,0.6994679736919276,0.870470445310209,0.6951950064932346,-0.9798919190649743,-0.04176615977545977,0.3944116291734741,0.6951950064932346,0.8181818181818182,-0.8044489129068746
11,x,0,0.8578191110552554,0.4242386158937623,0.8599974864898832,-0.9316325248209124,0.008839177244355076,0.6279167190314608,0.8599974864898832,0.7818181818181819,-0.5104520129026853
12,x,0,0.8744920614972143,0.6804490804742156,0.8740731431444012,-0.9800594864060995,0.06983368941393324,-0.17850111013363495,0.8740731431444012,0.9636363636363636,-0.8873109630932933
13,x,0,0.3329144149805203,0.6786896233924009,0.3372711658497759,-0.98039462108835,-0.413430522391186,0.25935235222655106,0.3372711658497759,0.5636363636363636,-0.7898705542289809
14,x,0,0.898035272925307,0.9150433580495163,0.8974487872313687,-0.9642243726697668,0.4164467345314399,0.01219052406685937,0.8974487872313687,0.9636363636363636,-0.6507896610950527
15,x,0,0.2588496502031754,0.482133132252524,0.24871182606509995,-0.953500062837753,-0.44091156633572126,0.6900842025889155,0.24871182606509995,0.2727272727272727,-0.831008336475221
16,x,0,0.1640903187968665,0.5930627120774161,0.16484437183193,-0.9686649072095849,-0.6491977713543631,-0.2151145741694944,0.16484437183193,0.16363636363636364,-0.689330149553852
17,x,0,0.46822504293913125,0.7210003770265175,0.4872439361568431,-0.9741108457961545,-0.3619035649951825,-0.08122826861044784,0.4872439361568431,0.8909090909090909,-0.6789409744040887
18,x,0,0.8915001466214235,0.8186083532319551,0.885216371329228,-0.9734405764316536,-0.2267605043776968,0.0545850613715387,0.885216371329228,1.0,-0.8801893510954717
19,x,0,0.9435298060408027,0.8493569603284321,0.942189267311801,-0.9769594905952832,0.4605169452473713,-0.6325248209124043,0.942189267311801,1.0,-0.735662519374974
20,x,0,0.7264463156130871,0.7403544049264799,0.7260273972602741,-0.9705919316325249,-0.3030036445896695,0.4830547526287128,0.7260273972602741,0.7454545454545454,-0.3520170918687948
